Test,Method,Price Impact
1,spot price,0.00040377556888164767
1,ABA method,0.00040370224878127914
2,spot price,0.00040752761462463616
2,ABA method,0.00040748466224682645
3,spot price,0.00041865039101878187
3,ABA method,0.00041883520209616163
4,spot price,0.0004367569669131873
4,ABA method,0.0004377776577118198
5,spot price,0.0004880753174956617
5,ABA method,0.0004950607027807906
6,spot price,0.0005649246215843502
6,ABA method,0.0005938876298481546
7,spot price,0.0006937172565830037
7,ABA method,0.0008207671867847921
1,spot price,0.000299821876819659
1,ABA method,0.0002997818706826472
2,spot price,0.000301646893391609
2,ABA method,0.00030162116023273454
3,spot price,0.000307064127222337
3,ABA method,0.00030714052265715
4,spot price,0.000315905711879544
4,ABA method,0.0003163503571391857
5,spot price,0.000341126126129627
5,ABA method,0.00034417624561956475
6,spot price,0.000379371869200906
6,ABA method,0.0003919909344199368
7,spot price,0.00044486981991085
7,ABA method,0.00050014069422582
1,spot price,0.000178526680305002
1,ABA method,0.03263980055813362
2,spot price,0.000507605549763369
2,ABA method,0.04657651569142629
